# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
6.667,4792,6790,3791,6149
6.729,4724,6831,4015,6265
6.757,4534,6748,3807,6248
6.828,4688,6772,3652,6169
6.828,4718,6911,3847,6223
6.847,4591,6804,3788,6295
6.908,4695,6745,3587,6202
6.910,4854,6827,3791,6210
6.941,4689,6790,3959,6290
6.998,4658,6669,3758,6232
7.034,4682,6694,3685,6230
7.059,4835,6797,3779,6179
7.089,4718,6809,4005,6257
7.118,4545,6721,3785,6232
7.148,4711,6799,3742,6125
7.219,4718,6903,3888,6244
7.239,4576,6778,3816,6305
7.267,4682,6782,3602,6190
7.328,4843,6860,3796,6224
7.329,4668,6799,3878,6320
7.358,4645,6676,3732,6220
7.388,4800,6797,3773,6184
7.448,4696,6807,4013,6264
7.508,4567,6747,3832,6239
7.509,4731,6781,3668,6156
7.538,4721,6914,3848,6220
7.568,4596,6777,3811,6297
7.601,4682,6766,3567,6197
7.629,4834,6845,3775,6219
7.658,4672,6819,3904,6302
7.719,4665,6677,3764,6223
7.747,4797,6801,3790,6151
7.777,4723,6842,4018,6253
7.809,4533,6756,3821,6250
7.867,4689,6791,3651,6154
7.869,4729,6915,3858,6234
7.898,4626,6821,3808,6301
7.958,4656,6719,3592,6224
7.987,4839,6820,3794,6243
8.047,4708,6816,3997,6281
8.048,4660,6666,3763,6235
8.079,4750,6779,3763,6159
8.138,4714,6869,3991,6247
8.138,4528,6760,3834,6252
8.168,4693,6767,3600,6167
8.228,4763,6914,3827,6235
8.257,4645,6793,3824,6307
8.287,4683,6688,3644,6230
8.317,4871,6811,3775,6214
8.348,4720,6812,3992,6276
8.378,4601,6681,3787,6234
8.437,4735,6780,3792,6143
8.467,4731,6920,3949,6254
8.497,4515,6771,3847,6251
8.528,4712,6786,3601,6190
8.558,4808,6883,3812,6223
8.588,4650,6803,3859,6312
8.626,4661,6682,3680,6228
8.647,4861,6801,3787,6230
8.678,4700,6799,4005,6275
8.738,4558,6708,3811,6253
8.769,4739,6791,3762,6146
8.797,4722,6887,3916,6248
8.827,4536,6774,3799,6257
8.858,4694,6773,3578,6193
8.888,4837,6874,3813,6238
8.918,4677,6816,3836,6317
8.979,4688,6687,3720,6254
9.008,4830,6782,3791,6175
9.038,4847,6824,3815,6211
9.068,4681,6810,4012,6301
9.099,4611,6669,3781,6241
9.128,4739,6788,3779,6169
9.158,4708,6876,3976,6254
9.228,4512,6776,3831,6247
9.248,4655,6768,3615,6175
9.277,4804,6876,3805,6250
9.307,4647,6800,3816,6317
9.337,4685,6677,3649,6226
9.367,4866,6799,3817,6234
9.398,4689,6821,3982,6287
9.458,4594,6692,3784,6251
9.487,4733,6788,3794,6155
9.548,4681,6899,3920,6246
9.550,4542,6776,3843,6249
9.580,4678,6778,3592,6200
9.611,4818,6876,3816,6242
9.640,4645,6794,3825,6322
9.670,4661,6688,3697,6245
9.728,4825,6795,3781,6200
9.758,4676,6799,4017,6278
9.797,4567,6721,3816,6247
9.821,4719,6790,3767,6164
9.847,4688,6888,3902,6250
9.879,4564,6774,3818,6294
9.908,4674,6772,3598,6214
9.968,4845,6863,3782,6246
9.998,4662,6806,3878,6336
10.028,4663,6666,3727,6250
10.058,4809,6795,3777,6191
10.088,4711,6828,4012,6282
10.118,4562,6716,3792,6253
10.148,4694,6760,3707,6161
10.178,4725,6900,3867,6262
10.237,4591,6773,3816,6315
10.268,4660,6789,3569,6234
10.318,4846,6828,3789,6238
10.327,4694,6810,3916,6324
10.357,4663,6677,3753,6243
10.388,4792,6790,3770,6174
10.424,4693,6821,4032,6277
10.478,4537,6734,3814,6285
10.507,4705,6779,3634,6185
10.538,4696,6916,3835,6237
10.567,4621,6798,3828,6322
10.597,4675,6721,3585,6235
10.657,4845,6817,3782,6248
10.658,4699,6785,3992,6320
10.687,4681,6647,3754,6255
10.747,4753,6775,3788,6195
10.777,4705,6858,3979,6262
10.807,4530,6753,3812,6267
10.837,4684,6734,3594,6188
10.867,4749,6900,3839,6264
10.898,4629,6786,3851,6335
10.928,4664,6677,3630,6249
10.988,4859,6802,3797,6249
11.017,4692,6780,3984,6306
11.047,4665,6767,3864,6344
11.077,4677,6665,3719,6253
11.107,4799,6775,3761,6200
11.138,4710,6806,4014,6288
11.198,4546,6725,3834,6276
11.229,4699,6778,3692,6190
11.257,4722,6913,3844,6274
11.288,4610,6797,3799,6326
11.318,4695,6728,3571,6246
11.348,4845,6834,3767,6260
11.378,4677,6814,3939,6337
11.408,4670,6664,3745,6265
11.467,4787,6790,3769,6193
11.510,4693,6846,3995,6285
11.528,4535,6751,3796,6265
11.559,4686,6762,3613,6191
11.588,4715,6920,3838,6275
11.626,4637,6808,3848,6343
11.650,4664,6708,3613,6248
11.709,4840,6813,3785,6247
11.768,4710,6784,4021,6324
11.770,4661,6659,3780,6258
11.800,4760,6775,3777,6192
11.830,4693,6865,3983,6286
11.862,4522,6766,3810,6269
11.890,4682,6764,3613,6212
11.949,4766,6895,3827,6263
11.979,4639,6806,3852,6351
12.010,4674,6673,3683,6261
12.039,4875,6802,3790,6263
12.068,4683,6782,3982,6316
12.098,4610,6672,3792,6279
12.128,4730,6770,3789,6180
12.157,4716,6907,3952,6293
12.227,4529,6761,3855,6287
12.247,4668,6776,3634,6231
12.278,4825,6849,3796,6264
12.308,4666,6781,3848,6362
12.337,4679,6669,3689,6273
12.383,4837,6800,3756,6242
12.397,4705,6799,4017,6309
12.427,4551,6699,3800,6273
12.488,4728,6765,3784,6184
12.520,4715,6869,3905,6282
12.549,4577,6770,3853,6314
12.578,4684,6700,3585,6245
12.608,4856,6725,3803,6268
12.637,4678,6684,3855,6374
12.667,4661,6429,3714,6267
12.727,4821,6731,3791,6238
12.757,4700,6584,4014,6310
12.788,4543,6488,3790,6269
12.828,4735,6610,3731,6202
12.848,4739,6870,3886,6270
12.877,4587,6590,3813,6349
12.908,4672,6611,3587,6266
12.937,4824,6843,3811,6278
12.997,4675,6615,3912,6368
13.028,4642,6500,3765,6306
13.057,4672,6671,3659,6268
13.087,4863,6576,3791,6277
13.118,4712,6806,3994,6337
13.148,4580,6655,3792,6290
13.208,4730,6731,3777,6209
13.237,4720,6906,3920,6293
13.267,4544,6772,3820,6314
13.297,4682,6735,3588,6240
13.328,4836,6745,3817,6279
13.358,4673,6644,3845,6374
13.387,4689,6619,3699,6290
13.423,4821,6786,3795,6258
13.479,4699,6732,4035,6321
13.507,4535,6620,3814,6283
