# Ghost Glove Flex Calibration — 30 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.041,4596,6336,3482,6254
0.071,4563,6261,3398,6187
0.104,4683,6309,3437,6144
0.131,4613,6360,3568,6203
0.161,4502,6269,3450,6187
0.192,4603,6228,3430,6118
0.229,4622,6241,3510,6175
0.253,4483,6253,3453,6192
0.343,4582,6228,3340,6155
0.372,4660,6310,3377,6178
0.372,4588,6263,3427,6246
0.402,4570,6188,3307,6182
0.432,4717,6246,3381,6165
0.462,4606,6256,3486,6209
0.491,4558,6171,3376,6185
0.552,4631,6282,3388,6140
0.581,4614,6319,3520,6185
0.642,4468,6257,3422,6197
0.642,4502,6129,3414,6190
0.702,4605,6344,3388,6117
0.704,4623,6421,3475,6177
0.762,4487,6363,3427,6195
0.792,4583,6335,3312,6163
0.828,4659,6312,3439,6173
0.852,4586,6286,3456,6245
0.882,4568,6222,3348,6185
0.913,4715,6313,3428,6166
0.942,4603,6313,3533,6212
0.972,4554,6215,3417,6187
1.032,4628,6290,3411,6122
1.091,4612,6326,3522,6173
1.091,4486,6272,3429,6197
1.121,4581,6270,3352,6150
1.152,4621,6364,3454,6179
1.182,4545,6279,3446,6234
1.212,4576,6229,3309,6176
1.272,4707,6286,3429,6171
1.332,4601,6265,3486,6225
1.332,4560,6167,3392,6184
1.429,4647,6241,3412,6129
1.429,4600,6278,3553,6193
1.429,4474,6225,3441,6194
1.451,4594,6253,3407,6123
1.481,4621,6343,3502,6179
1.542,4509,6266,3465,6214
1.602,4578,6243,3344,6175
1.602,4686,6288,3456,6175
1.631,4589,6264,3485,6252
1.662,4566,6183,3402,6187
1.692,4695,6279,3452,6167
1.752,4608,6277,3561,6209
1.752,4522,6188,3450,6191
1.812,4610,6258,3427,6126
1.842,4614,6317,3512,6204
1.871,4490,6235,3390,6198
1.902,4582,6268,3270,6154
1.932,4633,6414,3421,6182
1.962,4565,6308,3448,6246
1.992,4571,6282,3350,6185
2.053,4723,6358,3441,6170
2.083,4609,6357,3545,6222
2.142,4567,6263,3436,6188
2.181,4642,6342,3430,6133
2.181,4614,6404,3558,6190
2.203,4481,6346,3446,6198
2.261,4584,6372,3388,6135
2.261,4631,6485,3477,6182
2.321,4540,6419,3455,6224
2.353,4583,6380,3333,6177
2.381,4715,6420,3437,6174
2.413,4601,6400,3472,6246
2.445,4569,6307,3290,6191
2.473,4672,6379,3367,6161
2.502,4608,6398,3463,6199
2.563,4499,6326,3404,6195
2.595,4601,6357,3395,6124
2.623,4631,6449,3470,6182
2.651,4611,6401,3520,6188
2.681,4480,6354,3411,6200
2.712,4589,6368,3364,6134
2.771,4626,6456,3472,6196
2.801,4541,6381,3462,6237
2.832,4595,6358,3331,6182
2.863,4724,6408,3449,6173
2.893,4598,6381,3478,6243
2.923,4563,6297,3395,6190
2.953,4674,6372,3436,6161
2.983,4610,6397,3560,6199
3.043,4496,6328,3450,6197
3.102,4602,6352,3412,6125
3.102,4624,6437,3411,6192
3.134,4493,6345,3363,6201
3.209,4581,6332,3269,6162
3.209,4670,6416,3383,6181
3.222,4580,6347,3432,6246
3.282,4569,6276,3337,6201
3.312,4708,6339,3406,6172
3.342,4619,6216,3522,6210
3.372,4551,6044,3403,6193
3.402,4622,6234,3395,6128
3.434,4614,6274,3510,6183
3.462,4469,6204,3435,6201
3.492,4582,6218,3315,6152
3.554,4623,6217,3424,6181
3.584,4555,6319,3454,6242
3.611,4580,6310,3339,6188
3.641,4708,6377,3426,6173
3.671,4606,6392,3491,6238
3.702,4563,6300,3408,6191
3.732,4647,6356,3424,6147
3.792,4608,6363,3562,6208
3.829,4474,6302,3456,6201
3.851,4601,6322,3403,6133
3.912,4633,6419,3392,6185
3.912,4523,6340,3391,6218
3.942,4585,6314,3290,6173
3.972,4707,6379,3396,6176
4.002,4600,6340,3460,6245
4.062,4565,6251,3379,6190
4.092,4692,6328,3416,6160
4.152,4613,6356,3546,6201
4.152,4516,6261,3450,6196
4.182,4607,6321,3432,6127
4.244,4623,6409,3529,6183
4.244,4482,6327,3459,6206
4.301,4584,6235,3332,6173
4.361,4652,6115,3369,6179
4.392,4589,6140,3414,6252
4.392,4582,6080,3306,6186
4.430,4720,6156,3383,6175
4.453,4610,6406,3486,6222
4.483,4563,6299,3374,6195
4.513,4634,6379,3353,6131
4.571,4616,6404,3485,6195
4.601,4476,6366,3373,6210
4.631,4589,6363,3278,6160
4.661,4609,6380,3349,6133
4.722,4626,6482,3446,6192
4.722,4488,6405,3389,6210
4.812,4584,6412,3294,6181
4.812,4661,6488,3427,6190
4.843,4580,6441,3438,6257
4.871,4567,6353,3265,6200
4.901,4718,6433,3368,6180
4.931,4609,6426,3478,6226
4.962,4559,6328,3367,6201
5.024,4630,6407,3371,6139
5.050,4614,6458,3494,6197
5.112,4471,6398,3407,6213
5.112,4581,6401,3349,6154
5.141,4624,6498,3435,6194
5.172,4547,6416,3443,6251
5.202,4574,6391,3298,6193
5.232,4701,6437,3418,6185
5.291,4596,6428,3465,6249
5.333,4560,6325,3390,6205
5.351,4660,6397,3415,6163
5.412,4610,6420,3542,6206
5.412,4476,6360,3415,6210
5.441,4591,6380,3386,6137
5.532,4624,6471,3414,6194
5.532,4514,6392,3406,6224
5.562,4583,6363,3276,6188
5.591,4688,6434,3406,6190
5.629,4593,6390,3437,6262
5.651,4566,6305,3356,6202
