# Ghost Glove Flex Calibration — 30 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.065,4734,5512,3406,6474
0.097,4767,5726,3564,6517
0.126,4712,5517,3625,6566
0.156,4727,5530,3488,6505
0.229,4845,5731,3608,6498
0.230,4753,5661,3676,6556
0.245,4717,5666,3583,6513
0.306,4782,5660,3587,6466
0.366,4760,5749,3721,6520
0.366,4650,5713,3583,6524
0.394,4737,5698,3496,6474
0.428,4769,5659,3601,6508
0.454,4708,5630,3587,6572
0.485,4727,5916,3469,6512
0.514,4848,5964,3486,6500
0.605,4755,5906,3557,6556
0.605,4715,5558,3553,6514
0.635,4780,5802,3556,6463
0.666,4761,5603,3587,6510
0.696,4639,5715,3403,6525
0.727,4731,5615,3511,6475
0.756,4774,5688,3621,6508
0.827,4711,5589,3627,6578
0.846,4728,5566,3488,6520
0.877,4851,5604,3592,6501
0.904,4841,5662,3434,6505
0.936,4741,5563,3505,6571
0.966,4718,5457,3455,6516
0.996,4814,5349,3618,6484
1.062,4748,5553,3814,6521
1.085,4645,5432,3698,6546
1.114,4740,5250,3611,6455
1.145,4768,5299,3666,6507
1.174,4674,5505,3709,6545
1.265,4733,5519,3459,6497
1.265,4847,5491,3657,6503
1.325,4744,5534,3648,6564
1.325,4720,5448,3563,6517
1.355,4810,5537,3512,6472
1.385,4763,5616,3639,6520
1.428,4643,5555,3591,6520
1.444,4741,5555,3585,6457
1.475,4768,5569,3624,6509
1.505,4679,5382,3567,6543
1.581,4734,5362,3424,6502
1.594,4846,5333,3547,6524
1.624,4755,5410,3690,6564
1.655,4718,5481,3627,6516
1.685,4803,5476,3671,6479
1.715,4755,5527,3818,6518
1.745,4645,5495,3720,6526
1.805,4743,5449,3667,6468
1.865,4767,5618,3758,6510
1.865,4692,5598,3749,6562
1.895,4742,5325,3424,6506
1.925,4848,5658,3585,6500
1.956,4752,5304,3678,6568
1.985,4717,5515,3703,6514
2.015,4795,5483,3729,6474
2.077,4760,5183,3877,6524
2.106,4642,5303,3745,6527
2.135,4739,5256,3658,6473
2.165,4774,5640,3758,6511
2.196,4697,5581,3592,6560
2.255,4735,5650,3596,6509
2.255,4845,5773,3626,6504
2.316,4751,5755,3711,6579
2.346,4717,5559,3699,6517
2.375,4801,5560,3711,6463
2.405,4767,5731,3731,6541
2.435,4652,5527,3610,6524
2.465,4738,5417,3544,6465
2.495,4772,5567,3627,6511
2.525,4702,5438,3642,6560
2.587,4731,5369,3522,6507
2.623,4838,6149,3609,6501
2.645,4762,6035,3706,6551
2.677,4720,5597,3594,6517
2.707,4783,5893,3607,6456
2.766,4756,5929,3688,6518
2.766,4636,5610,3563,6526
2.827,4731,6027,3629,6483
2.855,4771,6070,3741,6512
2.885,4712,5841,3741,6572
2.915,4651,5801,3746,6530
2.945,4735,5529,3624,6491
2.977,4828,5973,3740,6505
3.037,4742,5730,3650,6583
3.065,4718,5730,3614,6516
3.095,4838,5978,3627,6484
3.135,4762,6071,3737,6530
3.155,4657,5838,3618,6523
3.186,4746,6078,3590,6453
3.215,4769,6046,3690,6512
3.245,4664,5983,3651,6536
3.307,4737,5919,3512,6498
3.338,4840,5897,3737,6508
3.366,4755,5676,3763,6576
3.398,4724,5802,3676,6519
3.428,4824,5745,3702,6490
3.456,4756,5917,3594,6529
3.487,4646,5799,3596,6523
3.547,4744,5880,3507,6464
3.576,4768,5859,3691,6513
3.605,4680,5901,3506,6547
3.635,4743,5960,3404,6503
3.665,4842,5930,3505,6506
3.695,4741,5831,3600,6580
3.727,4720,5739,3578,6518
3.757,4804,5825,3633,6487
3.828,4753,5970,3764,6541
3.847,4646,5919,3744,6527
3.876,4754,5939,3707,6461
3.907,4769,5959,3795,6514
3.937,4683,5843,3755,6546
3.965,4732,5854,3622,6508
4.001,4849,5820,3736,6506
4.057,4745,5963,3773,6581
4.087,4722,5866,3683,6521
4.118,4811,5940,3713,6469
4.147,4768,5813,3852,6533
4.177,4646,5615,3728,6528
4.207,4740,5714,3682,6462
4.235,4769,5611,3630,6514
4.266,4688,5752,3535,6553
4.327,4738,5702,3350,6510
4.358,4845,5666,3512,6506
4.387,4762,5489,3562,6571
4.430,4720,5628,3451,6519
4.446,4799,5531,3685,6479
4.476,4756,5498,3811,6522
4.506,4640,5713,3618,6528
4.566,4739,5640,3660,6470
4.596,4772,5776,3719,6514
4.629,4698,5717,3653,6571
