# Ghost Glove Flex Calibration — Hand flat on table
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.005,5080,9462,5069,8568
0.065,5150,9418,4986,8532
0.065,5207,9586,5056,8547
0.095,5155,9550,5076,8606
0.155,5129,9548,5079,8615
0.185,5153,9497,4986,8558
0.219,5244,9492,5045,8543
0.244,5171,9476,5089,8596
0.275,5143,9425,5021,8558
0.305,5191,9352,5022,8502
0.368,5178,9483,5112,8568
0.398,5077,9327,5016,8559
0.427,5154,9561,4861,8521
0.457,5192,9616,4959,8546
0.487,5126,9574,5020,8600
0.517,5143,9548,4941,8551
0.545,5246,9569,4992,8537
0.576,5168,9578,5067,8576
0.642,5132,9520,5027,8553
0.665,5180,9554,5022,8519
0.695,5185,9609,5086,8548
0.725,5078,9560,5047,8564
0.755,5153,9550,4963,8526
0.785,5198,9605,5016,8546
0.818,5145,9568,5015,8606
0.875,5142,9528,4929,8562
0.907,5247,9572,4956,8535
0.938,5167,9575,5138,8572
0.967,5126,9528,5065,8554
0.997,5172,9559,5033,8497
1.027,5178,9605,5096,8547
1.057,5079,9564,5063,8561
1.087,5153,9553,4982,8526
1.162,5206,9599,5060,8543
1.189,5148,9574,5073,8624
1.211,5141,9519,5019,8551
1.237,5237,9564,5050,8538
1.267,5168,9577,5131,8570
1.296,5111,9533,5062,8560
1.327,5170,9561,5049,8498
1.385,5182,9609,5097,8560
1.419,5095,9571,5076,8567
1.445,5159,9548,4984,8536
1.475,5236,9584,4898,8543
1.505,5161,9568,4939,8604
1.536,5140,9518,4917,8553
1.566,5225,9565,5008,8533
1.596,5168,9575,5094,8562
1.656,5089,9543,4995,8557
1.687,5159,9564,4950,8493
1.717,5189,9607,4979,8546
1.747,5104,9569,4984,8573
1.777,5151,9555,4925,8537
1.819,5244,9584,5032,8539
1.836,5160,9572,5068,8605
1.897,5142,9523,5020,8566
1.927,5211,9568,5031,8523
1.957,5173,9573,5125,8561
1.987,5089,9549,5050,8562
2.020,5155,9559,5024,8495
2.047,5185,9616,5062,8544
2.076,5118,9569,5044,8582
2.107,5152,9553,4977,8542
2.166,5151,9558,4975,8539
2.202,5217,9604,5040,8543
2.225,5158,9572,5049,8601
2.255,5140,9532,4966,8552
2.285,5238,9572,4992,8535
2.315,5166,9577,5015,8570
2.375,5105,9543,5045,8558
2.405,5169,9565,5039,8492
2.435,5195,9613,5096,8545
2.465,5090,9570,5073,8567
2.495,5154,9559,4993,8526
2.525,5217,9596,5056,8541
2.555,5155,9574,5084,8604
2.622,5136,9524,5022,8558
2.645,5232,9569,5054,8523
2.676,5187,9583,5125,8562
2.722,5103,9549,5028,8558
2.735,5164,9559,4991,8496
2.765,5185,9604,4987,8545
2.795,5103,9544,5007,8570
2.825,5155,9515,4987,8540
2.885,5234,9525,5062,8528
2.915,5160,9490,5085,8602
2.957,5151,9243,5038,8550
2.975,5218,9341,5055,8524
3.005,5170,9454,5143,8561
