# Ghost Glove Flex Calibration — Fist
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.013,4497,6326,3282,4932
0.073,4507,6254,3492,5016
0.075,4381,6224,3281,5040
0.104,4472,6183,3362,4967
0.164,4519,6255,3461,5015
0.193,4457,6165,3454,5105
0.226,4468,6217,3206,5015
0.253,4597,6284,3439,4999
0.283,4497,6272,3425,5081
0.314,4457,6237,3302,5023
0.344,4522,6286,3336,4945
0.407,4500,6384,3493,5029
0.436,4387,6199,3379,5039
0.464,4475,6246,3203,4952
0.495,4522,6256,3325,5026
0.526,4432,6338,3348,5073
0.554,4476,6251,3219,5008
0.584,4593,6204,3305,5005
0.647,4494,6175,3380,5107
0.674,4461,6182,3297,5021
0.704,4553,6317,3341,4974
0.764,4499,6254,3464,5041
0.764,4502,6314,3457,5084
0.795,4462,6222,3362,5027
0.827,4522,6327,3368,4943
0.884,4501,6351,3428,5034
0.920,4387,6358,3327,5043
0.943,4498,6333,3230,4958
1.004,4533,6371,3423,5016
1.004,4443,6319,3421,5074
1.033,4474,6238,3268,4995
1.124,4592,6229,3250,5000
1.124,4488,6196,3403,5103
1.156,4463,6143,3398,5029
1.184,4552,6175,3413,4969
1.227,4510,6231,3546,5036
1.244,4396,6123,3321,5034
1.274,4496,6132,3224,4923
1.304,4514,6329,3375,5016
1.334,4409,6074,3450,5043
1.394,4482,6187,3228,4982
1.454,4569,6268,3349,5010
1.454,4494,6244,3411,5115
1.485,4476,6251,3249,5027
1.544,4602,6277,3253,4997
1.633,4507,6197,3386,5056
1.633,4446,6037,3266,5007
1.634,4507,6105,3236,4916
1.724,4514,6316,3378,5004
1.724,4389,6226,3294,5028
1.725,4477,6228,3158,4964
1.753,4519,6297,3366,5013
1.826,4456,6110,3404,5111
1.827,4472,6142,3195,5020
1.844,4600,6296,3291,5008
1.904,4507,6222,3387,5097
1.933,4467,6109,3272,5035
1.964,4544,6051,3395,4946
1.993,4518,6307,3493,5049
2.027,4395,6047,3342,5054
2.055,4489,6221,3299,4951
2.085,4526,6213,3360,5031
2.115,4444,6065,3332,5087
2.174,4485,6130,3230,5011
2.205,4599,6215,3316,5015
2.235,4511,6384,3397,5120
2.264,4470,6083,3264,5037
2.294,4571,6204,3340,5008
2.324,4509,6348,3420,5066
2.354,4418,6312,3389,5047
2.427,4502,6282,3302,4949
2.444,4522,6358,3365,5036
2.474,4413,6287,3310,5063
2.503,4495,6271,3209,4993
2.534,4555,6235,3383,5029
2.564,4484,6358,3302,5126
2.655,4477,6254,3303,5038
2.655,4604,6265,3382,5015
2.714,4512,6301,3391,5093
2.714,4469,6231,3362,5044
2.746,4518,6264,3301,4958
