# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.044,4739,6824,3812,6383
0.074,4690,6935,3962,6452
0.104,4510,6800,3851,6451
0.135,4673,6813,3676,6394
0.164,4781,6947,3879,6433
0.195,4625,6841,3881,6516
0.240,4674,6727,3708,6422
0.284,4844,6863,3847,6440
0.315,4699,6853,3981,6486
0.344,4582,6723,3829,6440
0.376,4744,6814,3828,6389
0.404,4700,6905,3984,6462
0.441,4515,6795,3864,6463
0.464,4685,6797,3671,6396
0.524,4753,6945,3864,6453
0.555,4627,6864,3873,6534
0.584,4681,6743,3708,6443
0.615,4833,6859,3817,6447
0.644,4694,6831,4012,6509
0.674,4606,6705,3814,6441
0.704,4738,6816,3823,6387
0.735,4697,6900,3988,6470
0.795,4525,6790,3872,6460
0.834,4675,6807,3697,6417
0.856,4779,6923,3865,6427
0.886,4608,6835,3876,6518
0.914,4683,6769,3690,6444
0.958,4835,6864,3839,6460
0.975,4659,6829,3989,6506
1.035,4640,6700,3819,6487
1.064,4760,6829,3831,6394
1.155,4693,6912,3997,6462
1.155,4536,6800,3867,6478
1.156,4688,6821,3712,6403
1.185,4708,6955,3896,6454
1.244,4706,6921,3942,6466
1.274,4532,6810,3845,6494
1.306,4686,6800,3689,6446
1.334,4823,6911,3857,6461
1.395,4646,6827,3879,6532
1.397,4675,6731,3753,6450
1.435,4829,6835,3823,6451
1.454,4686,6801,4018,6500
1.546,4560,6722,3832,6461
1.546,4718,6793,3848,6396
1.575,4701,6882,3956,6470
1.606,4533,6770,3864,6491
1.636,4659,6791,3701,6429
1.664,4783,6876,3874,6467
1.694,4648,6819,3868,6535
1.756,4678,6699,3738,6457
1.815,4846,6791,3828,6442
1.815,4701,6799,4004,6513
1.846,4604,6703,3836,6477
1.875,4729,6794,3836,6399
1.904,4698,6933,3954,6483
1.934,4506,6813,3866,6480
1.966,4674,6825,3699,6420
2.055,4787,6918,3881,6455
2.055,4627,6790,3877,6545
2.084,4679,6700,3748,6468
2.114,4862,6829,3840,6469
2.145,4698,6801,3997,6519
2.175,4592,6682,3831,6481
2.205,4732,6796,3825,6409
2.265,4694,6908,3979,6484
2.296,4503,6780,3854,6499
2.325,4693,6801,3707,6451
2.356,4756,6923,3895,6477
2.385,4632,6827,3876,6532
2.416,4661,6739,3717,6456
2.446,4861,6822,3834,6467
2.479,4681,6815,4013,6517
2.536,4627,6697,3835,6478
2.594,4733,6783,3838,6400
2.596,4680,6902,3993,6492
2.634,4494,6773,3861,6483
2.654,4687,6804,3692,6429
2.684,4747,6929,3879,6478
2.716,4624,6823,3878,6532
2.776,4678,6734,3702,6474
2.805,4836,6842,3856,6486
2.835,4671,6824,4026,6542
2.896,4637,6678,3824,6480
2.896,4753,6835,3823,6419
2.925,4695,6886,4016,6503
2.956,4510,6796,3855,6485
2.985,4676,6777,3703,6432
3.045,4721,6939,3896,6489
3.105,4594,6810,3874,6535
3.136,4696,6731,3688,6489
3.136,4832,6837,3829,6490
3.165,4684,6829,3998,6542
3.196,4657,6675,3806,6475
3.255,4687,6703,3750,6491
3.285,4822,6833,3860,6438
3.315,4692,6845,4025,6513
3.344,4562,6733,3842,6483
3.375,4716,6813,3820,6411
3.404,4694,6918,3949,6482
3.435,4526,6793,3860,6494
3.465,4666,6799,3684,6441
3.525,4810,6907,3883,6480
3.554,4660,6828,3854,6557
3.584,4658,6716,3752,6492
3.616,4844,6839,3843,6478
3.644,4703,6838,4008,6534
3.676,4582,6721,3833,6493
3.704,4740,6813,3821,6421
3.766,4685,6931,3957,6510
3.802,4521,6800,3883,6508
3.837,4681,6813,3676,6456
3.854,4790,6920,3866,6494
3.916,4624,6826,3896,6559
3.916,4676,6706,3730,6478
3.945,4866,6835,3836,6496
3.974,4685,6838,4006,6545
4.035,4609,6707,3839,6501
4.067,4735,6814,3836,6426
4.094,4683,6932,3985,6520
4.154,4515,6795,3858,6494
4.185,4691,6822,3705,6457
4.185,4774,6947,3890,6496
4.215,4616,6848,3906,6565
4.274,4688,6749,3724,6499
4.304,4846,6863,3831,6488
4.364,4679,6834,3995,6529
4.365,4641,6715,3826,6495
4.394,4744,6827,3833,6428
4.434,4712,6900,3996,6499
4.454,4524,6792,3849,6510
4.486,4700,6816,3696,6442
4.545,4723,6960,3904,6498
4.586,4611,6839,3862,6558
4.604,4687,6753,3705,6492
4.635,4837,6855,3854,6498
4.664,4685,6852,3993,6554
4.694,4667,6702,3833,6503
4.724,4756,6819,3841,6442
4.786,4699,6916,4020,6537
4.815,4535,6786,3882,6495
4.845,4685,6831,3674,6446
4.874,4692,6954,3889,6489
4.904,4595,6840,3874,6577
4.934,4675,6784,3683,6487
4.964,4848,6875,3839,6485
5.028,4665,6861,3979,6569
5.057,4681,6714,3824,6516
5.084,4784,6832,3839,6441
5.115,4698,6866,4039,6528
5.177,4533,6788,3862,6526
5.177,4704,6802,3755,6437
5.205,4704,6921,3913,6500
5.264,4685,6941,3968,6504
5.294,4526,6793,3865,6505
5.324,4690,6818,3691,6458
5.354,4776,6925,3881,6502
5.384,4638,6842,3867,6571
5.414,4668,6718,3726,6492
5.445,4855,6849,3872,6499
5.504,4705,6851,4008,6550
5.534,4613,6717,3824,6508
5.564,4747,6827,3850,6438
5.594,4703,6931,3980,6515
5.628,4516,6811,3847,6503
5.654,4683,6832,3697,6469
5.684,4767,6963,3891,6508
5.715,4626,6844,3883,6568
5.774,4682,6747,3703,6503
5.804,4850,6877,3858,6493
5.834,4704,6846,4020,6565
5.864,4639,6703,3823,6517
5.894,4761,6829,3849,6445
5.954,4701,6914,4004,6522
5.955,4526,6803,3864,6512
6.014,4703,6843,3693,6460
6.044,4724,6983,3895,6524
6.074,4609,6862,3861,6571
6.104,4682,6791,3699,6503
6.134,4860,6888,3830,6511
6.164,4694,6863,4007,6570
6.194,4688,6713,3818,6510
6.235,4777,6853,3811,6453
6.284,4684,6909,4043,6541
6.315,4538,6810,3890,6520
6.344,4694,6850,3721,6460
6.374,4726,6961,3896,6523
6.404,4604,6834,3863,6579
6.436,4679,6793,3676,6494
6.464,4855,6880,3837,6509
6.524,4677,6838,3942,6575
6.554,4682,6707,3829,6523
6.585,4785,6818,3828,6449
6.615,4704,6879,4055,6548
6.645,4549,6788,3859,6520
6.674,4716,6823,3774,6445
6.704,4707,6958,3902,6527
6.735,4583,6851,3874,6576
6.835,4693,6828,3670,6506
6.835,4823,6872,3831,6523
6.854,4680,6835,3950,6585
6.886,4668,6701,3788,6505
6.915,4798,6819,3830,6466
