# Ghost Glove Flex Calibration — 20 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.045,4710,6356,3632,6182
0.074,4790,6493,3661,6124
0.104,4716,6444,3807,6203
0.135,4608,6374,3688,6185
0.168,4659,6314,3648,6175
0.239,4740,6428,3665,6119
0.239,4736,6498,3757,6180
0.284,4596,6392,3683,6193
0.314,4719,6456,3558,6155
0.345,4815,6436,3667,6184
0.374,4693,6409,3688,6235
0.405,4703,6530,3568,6185
0.435,4836,6535,3653,6170
0.494,4728,6630,3773,6216
0.524,4659,6542,3642,6197
0.555,4753,6604,3645,6124
0.584,4714,6696,3725,6182
0.615,4601,6599,3661,6196
0.644,4719,6593,3550,6146
0.685,4778,6838,3684,6190
0.707,4673,6740,3687,6237
0.736,4718,6731,3568,6179
0.794,4839,6597,3653,6180
0.832,4715,6662,3765,6215
0.884,4648,6654,3648,6198
0.885,4762,6660,3653,6141
0.914,4722,6819,3770,6200
0.944,4610,6764,3683,6183
0.974,4720,6782,3559,6151
1.035,4775,6883,3697,6198
1.064,4672,6742,3687,6254
1.094,4719,6683,3586,6190
1.124,4853,6818,3673,6187
1.154,4728,6792,3786,6228
1.184,4670,6775,3644,6189
1.213,4752,6836,3661,6143
1.244,4740,6854,3772,6199
1.304,4611,6685,3675,6207
1.334,4724,6572,3550,6173
1.365,4795,6843,3693,6199
1.394,4676,6690,3694,6256
1.429,4705,6720,3567,6193
1.454,4839,6809,3662,6204
1.484,4717,6803,3795,6238
1.544,4665,6703,3653,6215
1.574,4763,6859,3661,6153
1.604,4731,6882,3746,6216
1.635,4611,6774,3687,6231
1.664,4717,6775,3556,6178
1.694,4752,6881,3707,6213
1.724,4677,6792,3688,6261
1.754,4708,6483,3559,6211
1.814,4831,6653,3643,6216
1.844,4706,6832,3781,6264
1.875,4664,6736,3660,6235
1.934,4771,6802,3647,6175
1.935,4738,6755,3787,6239
1.965,4610,6464,3676,6227
1.994,4719,6566,3545,6191
2.053,4753,6710,3686,6239
2.083,4684,6803,3690,6281
2.113,4704,6696,3574,6220
2.144,4847,6759,3659,6238
2.174,4819,6852,3678,6221
2.205,4709,6709,3688,6290
2.265,4709,6783,3608,6228
2.294,4805,6851,3663,6194
2.324,4740,6841,3794,6246
2.354,4624,6605,3681,6235
2.384,4735,6666,3650,6173
2.415,4726,6694,3724,6221
2.444,4625,6593,3677,6264
2.474,4703,6642,3535,6214
2.535,4822,6767,3684,6225
2.564,4692,6700,3688,6309
2.594,4705,6446,3606,6255
2.654,4811,6759,3642,6200
2.655,4737,6750,3796,6253
2.684,4613,6682,3661,6243
2.714,4746,6675,3652,6182
2.774,4737,6641,3734,6249
2.805,4632,6676,3681,6275
2.833,4717,6658,3540,6222
2.864,4819,6685,3667,6243
2.894,4703,6703,3677,6298
2.924,4702,6652,3597,6245
2.954,4812,6711,3661,6217
2.986,4723,6703,3795,6262
3.044,4614,6539,3651,6257
3.074,4737,6582,3669,6169
3.105,4742,6627,3746,6257
3.135,4636,6534,3671,6274
3.164,4715,6531,3549,6219
3.231,4823,6595,3677,6239
3.233,4710,6549,3662,6292
3.314,4697,6448,3594,6246
3.315,4825,6548,3650,6231
3.344,4725,6603,3794,6286
3.374,4616,6575,3664,6253
3.404,4749,6595,3647,6186
3.435,4720,6672,3734,6241
3.464,4627,6592,3674,6263
3.494,4703,6606,3553,6217
3.585,4811,6655,3687,6238
3.586,4695,6572,3685,6304
3.630,4704,6540,3600,6237
3.646,4813,6385,3665,6218
3.677,4708,6522,3794,6265
3.707,4628,6498,3663,6244
3.737,4732,6408,3646,6187
3.794,4742,6696,3746,6247
3.829,4605,6577,3678,6266
3.855,4707,6406,3540,6234
3.884,4836,6683,3680,6248
3.914,4702,6620,3665,6303
3.944,4710,6527,3590,6240
3.974,4828,6514,3661,6230
4.004,4726,6617,3776,6270
4.064,4638,6345,3652,6247
4.094,4746,6535,3648,6182
4.124,4738,6644,3733,6241
4.154,4609,6591,3668,6252
4.184,4607,6591,3659,6248
4.214,4722,6612,3582,6187
4.274,4728,6723,3700,6245
4.305,4661,6728,3675,6299
4.335,4704,6722,3533,6227
4.364,4823,6697,3658,6242
4.430,4711,6711,3734,6293
4.430,4710,6579,3624,6241
4.454,4783,6649,3645,6193
4.484,4729,6702,3810,6254
4.544,4620,6618,3676,6247
4.605,4734,6402,3569,6198
4.606,4730,6701,3704,6244
4.664,4652,6694,3673,6288
4.666,4715,6669,3533,6231
4.697,4809,6636,3673,6238
4.727,4709,6594,3725,6304
4.784,4725,6359,3623,6260
4.844,4790,6523,3636,6192
4.846,4742,6632,3805,6262
4.877,4627,6518,3676,6232
4.907,4721,6404,3604,6182
4.936,4714,6643,3718,6243
4.967,4641,6596,3673,6292
4.997,4703,6666,3531,6224
5.054,4810,6720,3671,6248
5.085,4705,6675,3737,6289
5.117,4707,6667,3635,6258
