# Ghost Glove Flex Calibration — 20 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.022,4658,6681,3571,6537
0.052,4713,6694,3399,6471
0.082,4896,6767,3546,6487
0.143,4724,6725,3698,6533
0.173,4728,6595,3522,6485
0.204,4848,6709,3555,6427
0.238,4753,6746,3736,6491
0.262,4583,6611,3551,6482
0.306,4765,6505,3447,6426
0.322,4755,6735,3615,6492
0.382,4638,6584,3579,6538
0.412,4763,6693,3359,6468
0.446,4881,6790,3546,6492
0.479,4723,6748,3652,6545
0.502,4729,6626,3529,6482
0.532,4844,6720,3537,6430
0.562,4748,6756,3749,6509
0.592,4588,6670,3571,6499
0.652,4766,6718,3496,6414
0.682,4739,6835,3626,6483
0.712,4625,6740,3548,6541
0.743,4735,6724,3388,6469
0.773,4879,6802,3560,6491
0.802,4725,6754,3591,6559
0.832,4718,6628,3482,6485
0.862,4872,6750,3548,6458
0.923,4737,6743,3742,6527
0.952,4586,6657,3560,6496
0.982,4780,6727,3504,6418
1.012,4755,6829,3649,6486
1.043,4585,6721,3587,6516
1.072,4741,6710,3372,6458
1.102,4870,6804,3571,6491
1.163,4701,6731,3587,6559
1.192,4668,6732,3578,6548
1.227,4737,6690,3387,6483
1.252,4911,6779,3554,6486
1.282,4737,6732,3653,6550
1.349,4726,6605,3510,6498
1.349,4842,6719,3531,6441
1.402,4770,6760,3762,6515
1.432,4608,6683,3580,6498
1.462,4767,6722,3441,6443
1.492,4748,6832,3620,6478
1.522,4641,6707,3576,6531
1.552,4707,6524,3394,6482
1.582,4881,6654,3561,6479
1.643,4709,6739,3641,6575
1.672,4743,6606,3498,6496
1.702,4875,6727,3532,6443
1.732,4764,6737,3746,6520
1.762,4604,6639,3569,6506
1.792,4770,6686,3517,6418
1.828,4762,6788,3650,6481
1.863,4587,6643,3557,6523
1.912,4730,6634,3388,6474
1.943,4893,6716,3563,6476
1.973,4726,6658,3612,6565
2.002,4691,6550,3459,6482
2.032,4891,6667,3551,6482
2.062,4762,6656,3716,6522
2.094,4617,6552,3543,6495
2.152,4782,6627,3550,6438
2.182,4760,6772,3671,6485
2.212,4569,6600,3571,6521
2.242,4729,6671,3412,6475
2.273,4846,6750,3587,6507
2.303,4683,6640,3596,6572
2.332,4713,6500,3436,6500
2.362,4929,6711,3551,6513
2.452,4758,6685,3731,6571
2.453,4654,6561,3531,6519
2.482,4779,6556,3560,6452
2.512,4756,6647,3700,6521
2.543,4566,6489,3564,6526
2.574,4716,6512,3383,6471
2.603,4797,6681,3601,6509
2.662,4661,6511,3562,6586
2.692,4735,6437,3412,6499
2.722,4917,6409,3548,6508
2.752,4736,6499,3730,6577
2.783,4728,6455,3532,6521
2.812,4826,6578,3532,6449
2.842,4761,6635,3742,6538
2.873,4565,6534,3565,6507
2.932,4725,6586,3439,6474
2.962,4782,6706,3595,6514
2.992,4667,6561,3595,6576
3.052,4734,6557,3360,6506
3.052,4904,6640,3551,6510
3.082,4725,6602,3662,6580
3.112,4710,6402,3498,6513
3.173,4844,6629,3530,6474
3.202,4925,6620,3570,6520
3.232,4747,6489,3723,6564
3.262,4659,6530,3524,6519
3.323,4815,6628,3552,6468
3.323,4747,6739,3687,6524
3.382,4568,6628,3571,6523
3.425,4747,6644,3386,6478
3.442,4794,6786,3593,6522
3.472,4667,6639,3582,6573
3.502,4729,6560,3412,6515
3.532,4900,6679,3537,6530
3.562,4746,6701,3711,6563
3.592,4734,6554,3518,6511
3.682,4837,6650,3546,6468
3.683,4761,6704,3744,6535
3.713,4575,6614,3574,6533
3.743,4762,6585,3402,6480
3.772,4793,6724,3596,6526
3.802,4647,6686,3573,6597
3.832,4742,6624,3368,6502
3.931,4910,6686,3551,6532
3.931,4742,6617,3675,6583
3.952,4737,6432,3529,6550
