# Ghost Glove Flex Calibration — 40 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.046,4742,6266,3907,6601
0.046,4586,6110,3742,6583
0.102,4744,6245,3507,6514
0.144,4712,6355,3816,6582
0.161,4617,6251,3787,6637
0.192,4712,6192,3507,6563
0.242,4821,6339,3739,6558
0.251,4677,6183,3680,6660
0.281,4711,6239,3679,6580
0.343,4815,6313,3567,6546
0.372,4686,6335,3796,6609
0.403,4580,6144,3761,6600
0.462,4747,6282,3531,6525
0.463,4728,6353,3723,6589
0.492,4598,6231,3726,6626
0.521,4682,6248,3577,6564
0.582,4835,6316,3651,6576
0.612,4684,6236,3810,6663
0.644,4683,6143,3692,6596
0.673,4804,6321,3515,6529
0.701,4698,6264,3850,6607
0.731,4583,6185,3727,6578
0.762,4732,6240,3615,6506
0.792,4724,6301,3816,6582
0.882,4596,6404,3777,6634
0.883,4710,6361,3599,6574
0.912,4819,6317,3740,6598
0.942,4699,6225,3858,6659
0.972,4678,5912,3640,6594
1.002,4808,6176,3757,6553
1.031,4705,6229,3964,6612
1.092,4588,6203,3774,6589
1.122,4735,6343,3722,6527
1.152,4723,6397,3845,6614
1.181,4618,6183,3798,6652
1.212,4686,6246,3593,6576
1.245,4820,6357,3769,6587
1.302,4697,6289,3859,6666
1.303,4703,6166,3715,6609
1.362,4793,6301,3673,6566
1.392,4690,6176,3907,6625
1.428,4578,6046,3800,6603
1.452,4737,6122,3713,6524
1.482,4698,6387,3852,6599
1.512,4589,6168,3780,6652
1.542,4685,6142,3596,6575
1.602,4829,6303,3768,6592
1.631,4677,6323,3836,6661
1.662,4680,6202,3722,6635
1.697,4796,6289,3743,6527
1.722,4724,6280,3973,6615
1.752,4576,6208,3785,6605
1.782,4701,6152,3734,6515
1.842,4719,6326,3836,6596
1.873,4602,6233,3789,6648
1.903,4688,6190,3600,6576
1.932,4816,6360,3760,6612
1.962,4775,6354,3804,6584
1.992,4646,6223,3800,6670
2.025,4683,6144,3633,6587
2.082,4853,6268,3752,6591
2.112,4714,6112,3775,6636
2.142,4624,6199,3645,6595
2.172,4771,6099,3675,6529
2.216,4745,6160,3751,6593
2.261,4534,6686,3757,6602
2.262,4730,6674,3602,6547
2.292,4782,6789,3791,6586
2.352,4652,6639,3782,6683
2.382,4691,6310,3631,6601
2.413,4845,6685,3745,6577
2.472,4709,6701,3922,6637
2.473,4636,6514,3719,6602
2.502,4746,6408,3737,6523
2.532,4717,6317,3902,6601
2.592,4529,6449,3758,6630
2.634,4671,6518,3615,6562
2.652,4772,6523,3774,6596
2.681,4682,6393,3732,6670
2.742,4685,6331,3533,6589
2.744,4862,6421,3684,6584
2.773,4689,6402,3864,6644
2.802,4606,6250,3647,6596
2.862,4731,6440,3625,6535
2.892,4683,6469,3790,6637
2.922,4550,6296,3742,6622
2.952,4690,6303,3590,6564
2.982,4793,6325,3704,6608
3.013,4657,6281,3675,6675
3.042,4678,6139,3573,6598
3.102,4845,6296,3663,6591
3.132,4703,6274,3845,6644
3.162,4611,6178,3685,6594
3.192,4762,6362,3624,6524
3.227,4725,6441,3886,6612
3.251,4525,6360,3752,6595
3.281,4677,6518,3599,6555
3.312,4765,6630,3779,6608
3.373,4649,6447,3754,6677
3.402,4689,6422,3633,6600
3.433,4853,6413,3732,6571
3.461,4695,6404,3899,6649
3.522,4600,6442,3723,6610
3.523,4741,6382,3706,6529
3.551,4727,6471,3863,6605
3.613,4553,6308,3754,6625
3.646,4726,6403,3589,6561
3.672,4786,6365,3761,6597
3.701,4678,6278,3781,6668
3.731,4703,6166,3620,6605
3.762,4859,6292,3713,6582
3.827,4708,6282,3899,6644
3.827,4597,6232,3599,6594
3.882,4742,6342,3642,6532
3.912,4696,6480,3778,6612
3.943,4562,6360,3746,6611
3.973,4559,6479,3746,6592
4.002,4702,6523,3625,6536
4.032,4723,6593,3717,6588
4.092,4620,6527,3705,6681
4.122,4691,6409,3351,6594
4.152,4842,6556,3600,6596
4.182,4696,6523,3678,6654
4.212,4682,6270,3635,6610
4.242,4779,6515,3705,6534
4.277,4710,6419,3915,6622
4.301,4559,6344,3756,6606
4.362,4706,6445,3643,6534
4.392,4722,6479,3776,6585
4.430,4642,6407,3749,6669
4.452,4671,6360,3530,6581
4.482,4834,6407,3726,6601
4.512,4675,6373,3841,6662
4.542,4680,6268,3678,6602
4.602,4766,6540,3713,6559
4.631,4699,6361,3918,6629
4.662,4546,6294,3741,6606
4.692,4720,6272,3637,6552
4.797,4690,6438,3785,6600
4.797,4606,6503,3756,6678
4.797,4698,6492,3535,6586
4.813,4845,6331,3723,6596
4.872,4691,6449,3848,6667
4.902,4677,6292,3685,6610
4.932,4764,6334,3726,6536
4.961,4698,6435,3902,6629
4.992,4545,6360,3727,6623
5.029,4719,6353,3612,6549
5.051,4700,6669,3773,6604
5.114,4606,6412,3743,6682
5.143,4648,6502,3559,6596
5.174,4849,6445,3716,6609
5.204,4684,6496,3848,6667
5.233,4656,6273,3684,6605
5.263,4776,6323,3682,6535
5.292,4711,6350,3828,6626
5.321,4538,6451,3699,6614
5.382,4699,6322,3570,6544
5.412,4718,6495,3704,6613
5.441,4628,6372,3704,6673
5.472,4699,6133,3511,6587
5.503,4844,6205,3655,6594
5.532,4676,6333,3803,6670
5.563,4680,6233,3628,6596
5.651,4765,6132,3661,6548
5.682,4712,6433,3854,6613
5.712,4541,6364,3697,6610
5.713,4690,6305,3542,6556
5.742,4705,6485,3727,6607
5.772,4611,6357,3719,6665
5.803,4658,6226,3498,6591
5.836,4830,6448,3656,6608
5.892,4684,6252,3810,6662
5.922,4700,6351,3654,6612
5.952,4756,6330,3667,6545
5.982,4823,6538,3679,6582
6.012,4692,6402,3872,6633
6.072,4559,6263,3628,6625
6.102,4715,6432,3620,6536
6.134,4698,6535,3739,6607
6.163,4582,6429,3681,6644
6.192,4685,6418,3500,6577
6.232,4808,6319,3708,6580
6.252,4649,6495,3715,6682
6.283,4669,5954,3583,6598
6.356,4801,6533,3684,6590
6.371,4672,6340,3884,6635
6.402,4550,6363,3712,6598
6.432,4718,6376,3685,6536
6.464,4705,6398,3793,6603
6.495,4562,6361,3730,6622
6.525,4681,6391,3536,6586
6.554,4830,6427,3748,6601
6.642,4665,6442,3766,6685
6.643,4667,6309,3650,6629
6.672,4816,6390,3735,6587
6.702,4678,6365,3918,6641
6.732,4535,6476,3719,6617
6.763,4709,6311,3701,6538
6.792,4707,6528,3819,6607
6.852,4569,6441,3753,6638
6.881,4657,6402,3574,6593
6.912,4824,6512,3730,6625
6.943,4673,6176,3765,6686
6.972,4652,6105,3665,6610
7.005,4791,6420,3736,6578
7.036,4667,6406,3860,6632
7.063,4550,6139,3617,6616
7.123,4723,6274,3679,6542
7.152,4685,6477,3795,6620
7.182,4568,6361,3741,6667
7.212,4669,6388,3549,6588
7.242,4826,6293,3730,6601
7.272,4655,6225,3756,6690
7.332,4668,6126,3634,6624
7.364,4801,6478,3716,6578
7.392,4697,6396,3878,6630
7.426,4542,6437,3708,6611
