# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.073,4731,6367,3825,6069
0.104,4669,6776,3983,6143
0.136,4541,6677,3847,6162
0.194,4677,6688,3712,6132
0.196,4744,6701,3877,6168
0.239,4642,6689,3864,6252
0.255,4638,6588,3725,6173
0.284,4838,6400,3840,6158
0.343,4697,6482,4009,6231
0.373,4627,6364,3848,6183
0.404,4721,6523,3872,6099
0.436,4699,6627,4001,6181
0.464,4523,6648,3890,6180
0.524,4678,6659,3715,6138
0.525,4730,6787,3914,6171
0.584,4619,6689,3885,6264
0.613,4665,6535,3719,6179
0.644,4831,6684,3865,6191
0.673,4684,6419,4042,6241
0.705,4624,6367,3836,6205
0.734,4744,6480,3848,6131
0.766,4702,6680,4029,6220
0.795,4539,6576,3861,6198
0.855,4686,6576,3691,6146
0.884,4732,6579,3909,6205
0.913,4630,6522,3884,6272
0.943,4687,6394,3696,6188
0.973,4825,6570,3846,6188
1.004,4664,6779,4027,6258
1.038,4649,6634,3816,6217
1.093,4736,6716,3850,6154
1.123,4696,6803,4034,6228
1.154,4554,6702,3861,6236
1.183,4684,6721,3720,6156
1.214,4703,6639,3902,6224
1.243,4603,6653,3875,6273
1.274,4674,6621,3715,6212
1.305,4807,6699,3876,6221
1.364,4688,6681,4021,6289
1.393,4659,6558,3840,6224
1.433,4744,6757,3844,6148
1.453,4678,6800,4048,6243
1.483,4555,6678,3899,6231
1.513,4688,6680,3754,6166
1.543,4697,6862,3920,6214
1.604,4599,6779,3897,6310
1.638,4671,6703,3705,6204
1.666,4834,6770,3860,6215
1.696,4790,6778,3895,6228
1.754,4651,6598,3897,6294
1.756,4675,6544,3769,6225
1.813,4825,6818,3858,6212
1.843,4672,6798,4045,6261
1.878,4583,6703,3879,6244
1.904,4723,6753,3859,6165
1.934,4694,6770,3989,6249
1.964,4543,6387,3887,6252
1.993,4683,6647,3721,6206
2.039,4783,6718,3908,6245
2.083,4646,6664,3887,6307
2.113,4685,6577,3792,6253
2.143,4830,6799,3860,6237
2.173,4691,6789,4054,6273
2.205,4591,6711,3869,6253
2.237,4720,6801,3861,6185
2.263,4690,6894,3998,6257
2.323,4552,6756,3881,6271
2.354,4679,6766,3715,6224
2.386,4755,6865,3910,6256
2.413,4650,6790,3907,6333
2.443,4668,6666,3760,6252
2.473,4825,6758,3885,6263
2.504,4669,6740,4040,6301
2.533,4626,6336,3837,6248
2.594,4745,6774,3851,6174
2.634,4700,6740,3998,6271
2.654,4556,6656,3902,6290
2.683,4691,6784,3710,6219
2.713,4760,6886,3921,6269
2.743,4636,6789,3896,6343
2.773,4703,6681,3746,6250
2.833,4847,6788,3872,6271
2.866,4672,6750,4030,6305
2.905,4627,6466,3854,6281
2.923,4743,6650,3862,6204
2.953,4679,6747,4013,6279
2.983,4545,6637,3888,6287
3.013,4683,6627,3724,6226
3.043,4744,6760,3921,6293
3.105,4631,6661,3920,6344
3.133,4696,6586,3752,6257
3.164,4852,6678,3850,6278
3.193,4703,6677,4022,6314
3.232,4648,6548,3844,6277
3.253,4761,6644,3848,6216
3.283,4703,6732,4033,6301
3.343,4554,6584,3870,6292
3.373,4697,6651,3708,6235
3.434,4736,6800,3912,6291
3.434,4632,6657,3893,6343
3.463,4678,6704,3725,6277
3.493,4830,6799,3880,6273
3.523,4699,6777,4048,6348
3.555,4665,6658,3833,6292
3.613,4755,6783,3886,6221
3.643,4700,6851,4026,6296
3.673,4550,6757,3895,6281
3.704,4565,6467,3850,6281
3.733,4741,6640,3846,6204
3.793,4707,6731,3990,6306
3.823,4584,6636,3908,6336
3.853,4697,6643,3715,6250
3.883,4824,6711,3909,6288
3.913,4666,6643,3901,6368
3.943,4669,6578,3789,6295
3.973,4828,6680,3872,6259
4.003,4716,6684,4066,6328
4.033,4580,6555,3870,6305
4.093,4729,6690,3875,6237
4.123,4710,6868,3978,6304
4.153,4587,6779,3890,6333
4.184,4699,6746,3725,6264
4.214,4795,6830,3910,6296
4.243,4666,6697,3914,6370
4.273,4683,6679,3762,6299
4.335,4835,6749,3874,6311
4.363,4727,6742,4050,6338
4.395,4614,6560,3867,6307
4.432,4749,6620,3889,6225
4.453,4705,6889,4013,6314
4.483,4549,6777,3929,6318
4.513,4707,6754,3730,6267
4.543,4786,6838,3918,6305
4.604,4657,6716,3932,6391
4.635,4690,6681,3779,6296
4.663,4844,6796,3878,6286
4.693,4699,6764,4045,6345
4.723,4631,6649,3868,6324
4.754,4745,6735,3883,6235
4.783,4697,6830,4020,6328
4.843,4555,6680,3880,6330
4.873,4698,6696,3732,6273
4.942,4778,6794,3910,6296
4.942,4653,6729,3932,6390
4.964,4692,6615,3759,6306
4.993,4847,6629,3906,6316
5.032,4691,6554,4055,6356
5.053,4630,6658,3870,6305
5.143,4754,6690,3880,6233
5.144,4710,6771,4041,6324
5.173,4555,6655,3906,6318
5.204,4713,6521,3735,6260
5.233,4757,6763,3930,6309
5.266,4639,6615,3924,6376
5.293,4677,6534,3749,6294
5.353,4839,6664,3869,6304
5.383,4691,6772,4057,6368
5.413,4674,6680,3873,6327
5.443,4764,6761,3900,6249
5.473,4702,6601,4050,6334
5.503,4563,6705,3922,6315
5.534,4685,6691,3728,6260
5.563,4748,6836,3943,6310
5.632,4639,6734,3914,6373
5.653,4703,6641,3757,6309
5.683,4860,6610,3911,6326
5.714,4828,6683,3906,6313
5.743,4674,6646,3935,6409
5.773,4684,6532,3802,6326
5.833,4824,6808,3887,6278
5.863,4706,6815,4082,6351
5.893,4569,6731,3897,6316
5.923,4732,6794,3846,6234
5.954,4710,6883,3991,6320
5.985,4582,6783,3914,6351
6.013,4707,6793,3735,6297
6.073,4828,6874,3929,6313
6.105,4664,6802,3918,6409
6.133,4701,6712,3809,6323
6.164,4815,6816,3906,6301
6.193,4724,6806,4079,6353
6.232,4587,6718,3883,6312
6.253,4734,6794,3867,6246
6.283,4712,6899,4014,6329
6.343,4579,6791,3891,6351
