0.00,0.0000,0.0000
0.02,0.0001,0.0000
0.04,0.0003,0.0000
0.06,0.0008,0.0000
0.08,0.0016,0.0000
0.10,0.0030,0.0000
0.12,0.0049,0.0000
0.14,0.0074,0.0000
0.16,0.0107,0.0000
0.18,0.0148,0.0000
0.20,0.0197,0.0000
0.22,0.0256,0.0001
0.24,0.0325,0.0001
0.26,0.0405,0.0002
0.28,0.0495,0.0002
0.30,0.0597,0.0003
0.32,0.0710,0.0005
0.34,0.0835,0.0007
0.36,0.0971,0.0009
0.38,0.1119,0.0012
0.40,0.1279,0.0016
0.42,0.1450,0.0020
0.44,0.1633,0.0025
0.46,0.1827,0.0032
0.48,0.2031,0.0039
0.50,0.2246,0.0048
0.52,0.2471,0.0058
0.54,0.2706,0.0070
0.56,0.2949,0.0083
0.58,0.3200,0.0098
0.60,0.3458,0.0114
0.62,0.3724,0.0133
0.64,0.3995,0.0153
0.66,0.4271,0.0176
0.68,0.4552,0.0201
0.70,0.4836,0.0227
0.72,0.5122,0.0256
0.74,0.5410,0.0287
0.76,0.5698,0.0321
   [MIDSV] Motion START at t=0.78s
0.78,0.5986,0.0356
0.80,0.6272,0.0393
0.82,0.6556,0.0432
0.84,0.6836,0.0473
0.86,0.7112,0.0516
0.88,0.7382,0.0560
0.90,0.7646,0.0606
0.92,0.7901,0.0653
0.94,0.8149,0.0701
0.96,0.8387,0.0749
0.98,0.8614,0.0799
1.00,0.8831,0.0848
1.02,0.9035,0.0898
1.04,0.9226,0.0948
1.06,0.9404,0.0997
1.08,0.9567,0.1046
1.10,0.9715,0.1093
1.12,0.9848,0.1140
1.14,0.9964,0.1185
1.16,1.0063,0.1228
1.18,1.0145,0.1270
1.20,1.0210,0.1309
1.22,1.0256,0.1346
1.24,1.0285,0.1381
1.26,1.0295,0.1413
1.28,1.0286,0.1442
1.30,1.0259,0.1469
1.32,1.0213,0.1492
1.34,1.0149,0.1513
1.36,1.0067,0.1530
1.38,0.9966,0.1544
1.40,0.9848,0.1556
1.42,0.9712,0.1564
1.44,0.9559,0.1569
1.46,0.9389,0.1572
1.48,0.9203,0.1572
1.50,0.9002,0.1569
1.52,0.8786,0.1564
1.54,0.8556,0.1557
1.56,0.8312,0.1548
1.58,0.8057,0.1537
1.60,0.7789,0.1524
1.62,0.7511,0.1511
1.64,0.7223,0.1496
1.66,0.6926,0.1480
1.68,0.6621,0.1464
1.70,0.6310,0.1448
1.72,0.5992,0.1431
1.74,0.5671,0.1415
1.76,0.5346,0.1399
1.78,0.5018,0.1384
1.80,0.4690,0.1370
1.82,0.4361,0.1356
1.84,0.4033,0.1344
1.86,0.3708,0.1334
1.88,0.3385,0.1324
1.90,0.3068,0.1317
1.92,0.2755,0.1311
1.94,0.2450,0.1306
1.96,0.2152,0.1304
1.98,0.1862,0.1303
2.00,0.1582,0.1289
2.02,0.1313,0.1276
2.04,0.1055,0.1266
2.06,0.0809,0.1258
2.08,0.0577,0.1252
2.10,0.0358,0.1249
2.12,0.0154,0.1248
2.14,-0.0035,0.1249
2.16,-0.0208,0.1252
2.18,-0.0365,0.1258
2.20,-0.0505,0.1266
2.22,-0.0628,0.1276
2.24,-0.0734,0.1287
2.26,-0.0821,0.1301
2.28,-0.0891,0.1316
2.30,-0.0943,0.1333
2.32,-0.0977,0.1352
2.34,-0.0993,0.1372
2.36,-0.0991,0.1392
2.38,-0.0971,0.1414
2.40,-0.0934,0.1437
2.42,-0.0880,0.1460
2.44,-0.0809,0.1483
2.46,-0.0721,0.1506
2.48,-0.0617,0.1530
2.50,-0.0498,0.1553
2.52,-0.0365,0.1576
2.54,-0.0217,0.1598
2.56,-0.0056,0.1620
2.58,0.0117,0.1641
2.60,0.0302,0.1660
2.62,0.0498,0.1678
2.64,0.0704,0.1695
2.66,0.0919,0.1711
2.68,0.1142,0.1724
2.70,0.1372,0.1736
2.72,0.1607,0.1746
2.74,0.1847,0.1754
2.76,0.2092,0.1760
2.78,0.2338,0.1763
2.80,0.2586,0.1765
2.82,0.2835,0.1764
2.84,0.3083,0.1761
2.86,0.3328,0.1755
2.88,0.3571,0.1748
2.90,0.3810,0.1738
2.92,0.4044,0.1726
2.94,0.4272,0.1712
2.96,0.4493,0.1695
2.98,0.4705,0.1676
3.00,0.4909,0.1656
3.02,0.5102,0.1633
3.04,0.5284,0.1609
3.06,0.5454,0.1583
3.08,0.5612,0.1555
3.10,0.5757,0.1526
3.12,0.5887,0.1495
3.14,0.6003,0.1464
3.16,0.6103,0.1431
3.18,0.6188,0.1397
3.20,0.6257,0.1362
3.22,0.6309,0.1327
3.24,0.6345,0.1291
3.26,0.6363,0.1255
3.28,0.6364,0.1219
    [REP 1] start=1.28s  deepest=2.36s  end=3.30s
3.30,0.6347,0.1182
3.32,0.6313,0.1146
3.34,0.6261,0.1110
3.36,0.6193,0.1074
3.38,0.6107,0.1039
3.40,0.6004,0.1005
3.42,0.5884,0.0971
3.44,0.5749,0.0939
3.46,0.5597,0.0907
3.48,0.5430,0.0877
3.50,0.5249,0.0848
3.52,0.5053,0.0821
3.54,0.4844,0.0795
3.56,0.4622,0.0770
3.58,0.4388,0.0747
3.60,0.4144,0.0726
3.62,0.3889,0.0707
3.64,0.3624,0.0690
3.66,0.3352,0.0674
3.68,0.3072,0.0661
3.70,0.2785,0.0649
3.72,0.2494,0.0640
3.74,0.2198,0.0632
3.76,0.1899,0.0626
3.78,0.1598,0.0623
3.80,0.1296,0.0621
3.82,0.0994,0.0621
3.84,0.0694,0.0623
3.86,0.0396,0.0627
3.88,0.0102,0.0633
3.90,-0.0188,0.0640
3.92,-0.0472,0.0649
3.94,-0.0749,0.0659
3.96,-0.1019,0.0671
3.98,-0.1280,0.0685
4.00,-0.1531,0.0700
4.02,-0.1772,0.0716
4.04,-0.2001,0.0733
4.06,-0.2218,0.0751
4.08,-0.2421,0.0771
4.10,-0.2611,0.0791
4.12,-0.2786,0.0811
4.14,-0.2946,0.0833
4.16,-0.3090,0.0855
4.18,-0.3218,0.0877
4.20,-0.3329,0.0900
4.22,-0.3423,0.0923
4.24,-0.3500,0.0946
4.26,-0.3559,0.0969
4.28,-0.3600,0.0992
4.30,-0.3623,0.1015
4.32,-0.3629,0.1037
4.34,-0.3616,0.1060
4.36,-0.3586,0.1081
4.38,-0.3538,0.1102
4.40,-0.3472,0.1123
4.42,-0.3390,0.1143
4.44,-0.3291,0.1162
4.46,-0.3175,0.1180
4.48,-0.3044,0.1197
4.50,-0.2897,0.1214
4.52,-0.2736,0.1229
4.54,-0.2561,0.1244
4.56,-0.2373,0.1257
4.58,-0.2173,0.1269
4.60,-0.1961,0.1280
4.62,-0.1738,0.1290
4.64,-0.1506,0.1298
4.66,-0.1265,0.1306
4.68,-0.1016,0.1312
4.70,-0.0760,0.1317
4.72,-0.0499,0.1321
4.74,-0.0233,0.1324
4.76,0.0036,0.1325
4.78,0.0308,0.1326
4.80,0.0581,0.1325
4.82,0.0854,0.1323
4.84,0.1127,0.1320
4.86,0.1397,0.1316
4.88,0.1665,0.1311
4.90,0.1928,0.1305
4.92,0.2186,0.1298
4.94,0.2437,0.1290
4.96,0.2681,0.1282
4.98,0.2916,0.1273
5.00,0.3143,0.1263
5.02,0.3359,0.1252
5.04,0.3563,0.1241
5.06,0.3756,0.1229
5.08,0.3936,0.1217
5.10,0.4102,0.1204
5.12,0.4254,0.1191
5.14,0.4391,0.1178
5.16,0.4513,0.1165
5.18,0.4619,0.1151
5.20,0.4708,0.1137
5.22,0.4781,0.1123
5.24,0.4836,0.1109
5.26,0.4875,0.1096
5.28,0.4895,0.1082
5.30,0.4898,0.1068
5.32,0.4884,0.1055
5.34,0.4852,0.1042
5.36,0.4802,0.1029
5.38,0.4735,0.1017
5.40,0.4651,0.1005
5.42,0.4550,0.0993
5.44,0.4433,0.0982
5.46,0.4299,0.0972
5.48,0.4150,0.0962
5.50,0.3986,0.0952
5.52,0.3808,0.0943
5.54,0.3616,0.0934
5.56,0.3412,0.0927
5.58,0.3195,0.0919
5.60,0.2967,0.0913
5.62,0.2728,0.0907
5.64,0.2480,0.0902
5.66,0.2224,0.0897
5.68,0.1960,0.0893
5.70,0.1689,0.0890
5.72,0.1413,0.0887
5.74,0.1133,0.0885
5.76,0.0849,0.0883
5.78,0.0563,0.0883
5.80,0.0276,0.0882
5.82,-0.0011,0.0883
5.84,-0.0297,0.0883
5.86,-0.0581,0.0885
5.88,-0.0861,0.0887
5.90,-0.1137,0.0889
5.92,-0.1408,0.0892
5.94,-0.1672,0.0895
5.96,-0.1928,0.0899
5.98,-0.2176,0.0903
6.00,-0.2414,0.0908
6.02,-0.2641,0.0912
6.04,-0.2858,0.0917
6.06,-0.3062,0.0923
6.08,-0.3253,0.0928
6.10,-0.3430,0.0934
6.12,-0.3593,0.0940
6.14,-0.3741,0.0946
6.16,-0.3873,0.0953
6.18,-0.3989,0.0959
6.20,-0.4089,0.0965
6.22,-0.4172,0.0972
6.24,-0.4237,0.0978
6.26,-0.4285,0.0984
6.28,-0.4315,0.0991
6.30,-0.4328,0.0997
6.32,-0.4323,0.1003
6.34,-0.4300,0.1009
6.36,-0.4259,0.1015
6.38,-0.4201,0.1021
6.40,-0.4126,0.1026
6.42,-0.4033,0.1031
6.44,-0.3924,0.1036
6.46,-0.3799,0.1041
6.48,-0.3659,0.1046
6.50,-0.3503,0.1050
6.52,-0.3333,0.1054
6.54,-0.3149,0.1058
6.56,-0.2952,0.1061
6.58,-0.2743,0.1065
6.60,-0.2522,0.1068
6.62,-0.2291,0.1070
6.64,-0.2050,0.1072
6.66,-0.1801,0.1074
6.68,-0.1544,0.1076
6.70,-0.1280,0.1078
6.72,-0.1011,0.1079
6.74,-0.0737,0.1079
6.76,-0.0460,0.1080
6.78,-0.0180,0.1080
6.80,0.0100,0.1080
6.82,0.0381,0.1080
6.84,0.0661,0.1079
6.86,0.0939,0.1078
6.88,0.1213,0.1077
6.90,0.1483,0.1076
6.92,0.1748,0.1075
6.94,0.2006,0.1073
