# Ghost Glove BLE Inter-Arrival Time Log
# arrival_ms       = ms since recording started (browser clock)
# esp_timestamp_ms = ms since BLE connect (ESP32 clock)
# interarrival_ms  = time between consecutive packet arrivals (blank for first packet)
# target: 20 ms (50 Hz)
seq,arrival_ms,esp_timestamp_ms,interarrival_ms
256,8758,67737,29.00
257,8816,67771,58.00
258,8845,67806,29.00
259,8876,67840,31.00
260,8906,67874,30.00
261,8935,67907,29.00
262,8965,67941,30.00
263,8995,67975,30.00
264,9025,68009,30.00
265,9086,68043,61.00
266,9115,68078,29.00
267,9149,68112,34.00
268,9178,68146,29.00
269,9208,68179,30.00
270,9266,68213,58.00
271,9268,68247,2.00
272,9326,68282,58.00
273,9355,68316,29.00
274,9385,68350,30.00
275,9416,68384,31.00
276,9445,68417,29.00
277,9475,68451,30.00
278,9505,68485,30.00
279,9538,68519,33.00
280,9596,68554,58.00
281,9656,68588,60.00
282,9658,68622,2.00
283,9688,68655,30.00
284,9718,68689,30.00
285,9748,68723,30.00
286,9778,68757,30.00
287,9836,68791,58.00
288,9866,68826,30.00
289,9927,68860,61.00
290,9927,68894,0.00
291,9957,68927,30.00
292,9986,68961,29.00
293,10016,69000,30.00
294,10076,69035,60.00
295,10105,69069,29.00
296,10146,69103,41.00
297,10165,69136,19.00
298,10195,69170,30.00
299,10225,69204,30.00
300,10255,69238,30.00
301,10315,69273,60.00
302,10345,69307,30.00
303,10375,69341,30.00
304,10405,69375,30.00
305,10435,69408,30.00
306,10465,69442,30.00
307,10496,69476,31.00
308,10525,69510,29.00
309,10598,69545,73.00
310,10617,69579,19.00
311,10647,69613,30.00
312,10676,69646,29.00
313,10705,69680,29.00
314,10738,69714,33.00
315,10767,69748,29.00
316,10825,69783,58.00
317,10854,69817,29.00
318,10885,69851,31.00
319,10915,69885,30.00
320,10945,69918,30.00
321,10976,69952,31.00
322,11036,69986,60.00
323,11036,70020,0.00
324,11095,70055,59.00
325,11125,70089,30.00
326,11187,70123,62.00
327,11187,70156,0.00
328,11245,70190,58.00
329,11247,70224,2.00
330,11278,70258,31.00
331,11338,70293,60.00
332,11368,70327,30.00
333,11398,70361,30.00
334,11428,70395,30.00
335,11456,70428,28.00
336,11485,70462,29.00
337,11545,70496,60.00
338,11546,70530,1.00
339,11605,70565,59.00
340,11636,70599,31.00
341,11665,70633,29.00
342,11707,70666,42.00
343,11724,70700,17.00
344,11755,70734,31.00
345,11785,70768,30.00
346,11845,70803,60.00
347,11878,70837,33.00
348,11908,70871,30.00
349,11939,70905,31.00
350,11995,70938,56.00
351,11997,70972,2.00
352,12055,71011,58.00
353,12085,71046,30.00
354,12115,71080,30.00
355,12145,71114,30.00
356,12176,71147,31.00
357,12205,71181,29.00
358,12235,71215,30.00
359,12265,71249,30.00
360,12325,71284,60.00
361,12355,71318,30.00
362,12386,71352,31.00
363,12416,71386,30.00
364,12445,71419,29.00
365,12479,71453,34.00
366,12507,71487,28.00
367,12595,71521,88.00
368,12597,71556,2.00
369,12625,71590,28.00
370,12655,71624,30.00
371,12685,71657,30.00
372,12715,71691,30.00
373,12748,71725,33.00
374,12777,71759,29.00
375,12835,71794,58.00
376,12868,71828,33.00
377,12925,71862,57.00
378,12927,71895,2.00
379,12958,71929,31.00
380,12986,71963,28.00
381,13017,71997,31.00
382,13076,72031,59.00
383,13105,72066,29.00
384,13135,72100,30.00
385,13165,72134,30.00
386,13195,72167,30.00
387,13225,72201,30.00
388,13259,72235,34.00
389,13285,72269,26.00
390,13345,72304,60.00
391,13376,72338,31.00
392,13408,72372,32.00
393,13436,72406,28.00
394,13465,72439,29.00
395,13495,72473,30.00
396,13525,72507,30.00
397,13585,72541,60.00
398,13618,72576,33.00
399,13645,72610,27.00
400,13678,72644,33.00
401,13708,72677,30.00
402,13779,72711,71.00
403,13779,72745,0.00
404,13794,72780,15.00
405,13855,72814,61.00
406,13885,72848,30.00
407,13915,72882,30.00
408,13945,72916,30.00
409,13978,72949,33.00
410,14006,72983,28.00
411,14065,73022,59.00
412,14125,73057,60.00
413,14126,73091,1.00
414,14155,73125,29.00
415,14185,73158,30.00
416,14217,73192,32.00
417,14245,73226,28.00
418,14305,73260,60.00
419,14335,73295,30.00
420,14365,73329,30.00
421,14395,73363,30.00
422,14425,73396,30.00
423,14455,73430,30.00
424,14486,73464,31.00
425,14515,73498,29.00
426,14576,73532,61.00
427,14605,73567,29.00
428,14635,73601,30.00
429,14665,73635,30.00
430,14695,73668,30.00
431,14726,73702,31.00
432,14755,73736,29.00
433,14786,73770,31.00
434,14875,73804,89.00
435,14876,73838,1.00
436,14906,73873,30.00
437,14935,73906,29.00
438,14965,73940,30.00
439,14995,73974,30.00
440,15036,74008,41.00
441,15084,74042,48.00
442,15114,74077,30.00
443,15144,74111,30.00
444,15176,74145,32.00
445,15204,74178,28.00
446,15265,74212,61.00
447,15266,74246,1.00
448,15295,74280,29.00
449,15355,74315,60.00
450,15385,74349,30.00
451,15420,74383,35.00
452,15445,74416,25.00
